zone_id,zone_name,receiver_count,case_key,season,rear_bearing_true_deg,scenario,metric,mean,median,p10,p90,min,max
1,ZONE_1,2406,AUTUMN_B325,AUTUMN,325.0,baseline,expected_open_sky_weighted_hours,6.6939941812136325,7.0,4.75,8.0,2.25,8.0
1,ZONE_1,2406,AUTUMN_B325,AUTUMN,325.0,baseline,deterministic_dappled_pattern_hours,6.6939941812136325,7.0,4.75,8.0,2.25,8.0
1,ZONE_1,2406,AUTUMN_B325,AUTUMN,325.0,likely,expected_open_sky_weighted_hours,6.672547797173732,7.0,4.75,8.0,2.25,8.0
1,ZONE_1,2406,AUTUMN_B325,AUTUMN,325.0,likely,deterministic_dappled_pattern_hours,6.673316708229426,7.0,4.75,8.0,2.25,8.0
1,ZONE_1,2406,AUTUMN_B325,AUTUMN,325.0,conservative,expected_open_sky_weighted_hours,6.068443474646716,6.3125,4.3125,7.3125,1.5625,7.3125
1,ZONE_1,2406,AUTUMN_B325,AUTUMN,325.0,conservative,deterministic_dappled_pattern_hours,6.0735660847880295,6.5,4.25,7.25,1.5,8.0
2,ZONE_2,288,AUTUMN_B325,AUTUMN,325.0,baseline,expected_open_sky_weighted_hours,6.836805555555555,7.0,6.0,7.5,5.5,7.75
2,ZONE_2,288,AUTUMN_B325,AUTUMN,325.0,baseline,deterministic_dappled_pattern_hours,6.836805555555555,7.0,6.0,7.5,5.5,7.75
2,ZONE_2,288,AUTUMN_B325,AUTUMN,325.0,likely,expected_open_sky_weighted_hours,6.836805555555555,7.0,6.0,7.5,5.5,7.75
2,ZONE_2,288,AUTUMN_B325,AUTUMN,325.0,likely,deterministic_dappled_pattern_hours,6.836805555555555,7.0,6.0,7.5,5.5,7.75
2,ZONE_2,288,AUTUMN_B325,AUTUMN,325.0,conservative,expected_open_sky_weighted_hours,6.1493055555555545,6.312499999999999,5.312499999999999,6.812499999999998,4.8125,7.062499999999999
2,ZONE_2,288,AUTUMN_B325,AUTUMN,325.0,conservative,deterministic_dappled_pattern_hours,6.125868055555555,6.25,5.25,7.0,4.75,7.5
3,ZONE_3,388,AUTUMN_B325,AUTUMN,325.0,baseline,expected_open_sky_weighted_hours,4.176546391752577,4.25,2.5,5.75,1.0,6.75
3,ZONE_3,388,AUTUMN_B325,AUTUMN,325.0,baseline,deterministic_dappled_pattern_hours,4.176546391752577,4.25,2.5,5.75,1.0,6.75
3,ZONE_3,388,AUTUMN_B325,AUTUMN,325.0,likely,expected_open_sky_weighted_hours,4.032731958762887,4.05,2.5,5.550000000000001,1.0,6.65
3,ZONE_3,388,AUTUMN_B325,AUTUMN,325.0,likely,deterministic_dappled_pattern_hours,4.03479381443299,4.0,2.5,5.5,1.0,6.75
3,ZONE_3,388,AUTUMN_B325,AUTUMN,325.0,conservative,expected_open_sky_weighted_hours,3.952094072164948,3.9749999999999996,2.5,5.475,1.0,6.0625
3,ZONE_3,388,AUTUMN_B325,AUTUMN,325.0,conservative,deterministic_dappled_pattern_hours,3.955541237113402,4.0,2.5,5.5,1.0,6.5
4,ZONE_4,632,AUTUMN_B325,AUTUMN,325.0,baseline,expected_open_sky_weighted_hours,2.2828322784810124,2.25,0.0,5.0,0.0,6.5
4,ZONE_4,632,AUTUMN_B325,AUTUMN,325.0,baseline,deterministic_dappled_pattern_hours,2.2828322784810124,2.25,0.0,5.0,0.0,6.5
4,ZONE_4,632,AUTUMN_B325,AUTUMN,325.0,likely,expected_open_sky_weighted_hours,2.2828322784810124,2.25,0.0,5.0,0.0,6.5
4,ZONE_4,632,AUTUMN_B325,AUTUMN,325.0,likely,deterministic_dappled_pattern_hours,2.2828322784810124,2.25,0.0,5.0,0.0,6.5
4,ZONE_4,632,AUTUMN_B325,AUTUMN,325.0,conservative,expected_open_sky_weighted_hours,1.91689082278481,1.8250000000000002,0.0,4.312499999999999,0.0,5.812499999999999
4,ZONE_4,632,AUTUMN_B325,AUTUMN,325.0,conservative,deterministic_dappled_pattern_hours,1.9113924050632911,1.75,0.0,4.25,0.0,6.5
5,ZONE_5,56,AUTUMN_B325,AUTUMN,325.0,baseline,expected_open_sky_weighted_hours,4.334821428571429,4.25,4.0,4.5,4.0,4.75
5,ZONE_5,56,AUTUMN_B325,AUTUMN,325.0,baseline,deterministic_dappled_pattern_hours,4.334821428571429,4.25,4.0,4.5,4.0,4.75
5,ZONE_5,56,AUTUMN_B325,AUTUMN,325.0,likely,expected_open_sky_weighted_hours,4.1258928571428575,4.15,3.9499999999999997,4.300000000000001,3.8,4.450000000000001
5,ZONE_5,56,AUTUMN_B325,AUTUMN,325.0,likely,deterministic_dappled_pattern_hours,4.116071428571429,4.0,3.75,4.5,3.75,4.5
5,ZONE_5,56,AUTUMN_B325,AUTUMN,325.0,conservative,expected_open_sky_weighted_hours,4.005357142857142,3.9875,3.7249999999999996,4.225,3.7249999999999996,4.225
5,ZONE_5,56,AUTUMN_B325,AUTUMN,325.0,conservative,deterministic_dappled_pattern_hours,4.013392857142857,4.0,3.75,4.25,3.5,4.5
6,ZONE_6,1025,AUTUMN_B325,AUTUMN,325.0,baseline,expected_open_sky_weighted_hours,6.154146341463415,6.75,3.75,7.75,2.5,8.0
6,ZONE_6,1025,AUTUMN_B325,AUTUMN,325.0,baseline,deterministic_dappled_pattern_hours,6.154146341463415,6.75,3.75,7.75,2.5,8.0
6,ZONE_6,1025,AUTUMN_B325,AUTUMN,325.0,likely,expected_open_sky_weighted_hours,6.1346341463414635,6.65,3.75,7.65,2.5,8.0
6,ZONE_6,1025,AUTUMN_B325,AUTUMN,325.0,likely,deterministic_dappled_pattern_hours,6.135853658536585,6.75,3.75,7.75,2.5,8.0
6,ZONE_6,1025,AUTUMN_B325,AUTUMN,325.0,conservative,expected_open_sky_weighted_hours,5.772634146341463,6.175,3.75,7.0625,2.5,7.3125
6,ZONE_6,1025,AUTUMN_B325,AUTUMN,325.0,conservative,deterministic_dappled_pattern_hours,5.775365853658537,6.0,3.75,7.0,2.5,7.75
7,ZONE_7,425,AUTUMN_B325,AUTUMN,325.0,baseline,expected_open_sky_weighted_hours,3.9723529411764704,4.75,0.0,6.5,0.0,7.0
7,ZONE_7,425,AUTUMN_B325,AUTUMN,325.0,baseline,deterministic_dappled_pattern_hours,3.9723529411764704,4.75,0.0,6.5,0.0,7.0
7,ZONE_7,425,AUTUMN_B325,AUTUMN,325.0,likely,expected_open_sky_weighted_hours,3.827882352941177,4.550000000000001,0.0,6.300000000000001,0.0,6.9
7,ZONE_7,425,AUTUMN_B325,AUTUMN,325.0,likely,deterministic_dappled_pattern_hours,3.827058823529412,4.5,0.0,6.5,0.0,7.0
7,ZONE_7,425,AUTUMN_B325,AUTUMN,325.0,conservative,expected_open_sky_weighted_hours,3.694941176470588,4.475,0.0,5.949999999999999,0.0,6.8625
7,ZONE_7,425,AUTUMN_B325,AUTUMN,325.0,conservative,deterministic_dappled_pattern_hours,3.692941176470588,4.5,0.0,6.0,0.0,6.75
1,ZONE_1,2406,AUTUMN_B330,AUTUMN,330.0,baseline,expected_open_sky_weighted_hours,6.601517040731505,7.0,4.75,7.75,2.0,7.75
1,ZONE_1,2406,AUTUMN_B330,AUTUMN,330.0,baseline,deterministic_dappled_pattern_hours,6.600789692435578,7.0,4.75,7.75,2.0,7.75
1,ZONE_1,2406,AUTUMN_B330,AUTUMN,330.0,likely,expected_open_sky_weighted_hours,6.583291770573566,7.0,4.75,7.75,2.0,7.75
1,ZONE_1,2406,AUTUMN_B330,AUTUMN,330.0,likely,deterministic_dappled_pattern_hours,6.58239817123857,7.0,4.75,7.75,2.0,7.75
1,ZONE_1,2406,AUTUMN_B330,AUTUMN,330.0,conservative,expected_open_sky_weighted_hours,5.707179966749792,6.012499999999999,4.2875,6.7875,1.0375,6.7875000000000005
1,ZONE_1,2406,AUTUMN_B330,AUTUMN,330.0,conservative,deterministic_dappled_pattern_hours,5.706151288445553,6.0,4.25,6.75,0.75,7.5
2,ZONE_2,288,AUTUMN_B330,AUTUMN,330.0,baseline,expected_open_sky_weighted_hours,6.662326388888889,6.75,5.75,7.5,5.0,7.5
2,ZONE_2,288,AUTUMN_B330,AUTUMN,330.0,baseline,deterministic_dappled_pattern_hours,6.662326388888889,6.75,5.75,7.5,5.0,7.5
2,ZONE_2,288,AUTUMN_B330,AUTUMN,330.0,likely,expected_open_sky_weighted_hours,6.662326388888889,6.75,5.75,7.5,5.0,7.5
2,ZONE_2,288,AUTUMN_B330,AUTUMN,330.0,likely,deterministic_dappled_pattern_hours,6.662326388888889,6.75,5.75,7.5,5.0,7.5
2,ZONE_2,288,AUTUMN_B330,AUTUMN,330.0,conservative,expected_open_sky_weighted_hours,5.699826388888889,5.7875,4.7875,6.5375,4.0375000000000005,6.5375
2,ZONE_2,288,AUTUMN_B330,AUTUMN,330.0,conservative,deterministic_dappled_pattern_hours,5.683159722222222,5.75,4.75,6.5,3.75,7.25
3,ZONE_3,388,AUTUMN_B330,AUTUMN,330.0,baseline,expected_open_sky_weighted_hours,4.246134020618556,4.375,2.75,5.875,1.0,6.625
3,ZONE_3,388,AUTUMN_B330,AUTUMN,330.0,baseline,deterministic_dappled_pattern_hours,4.239690721649485,4.25,2.75,5.75,1.0,6.75
3,ZONE_3,388,AUTUMN_B330,AUTUMN,330.0,likely,expected_open_sky_weighted_hours,4.13208762886598,4.2,2.75,5.700000000000001,1.0,6.550000000000001
3,ZONE_3,388,AUTUMN_B330,AUTUMN,330.0,likely,deterministic_dappled_pattern_hours,4.128221649484536,4.25,2.75,5.75,1.0,6.5
3,ZONE_3,388,AUTUMN_B330,AUTUMN,330.0,conservative,expected_open_sky_weighted_hours,3.868073453608247,3.8374999999999995,2.75,5.3374999999999995,1.0,5.7875
3,ZONE_3,388,AUTUMN_B330,AUTUMN,330.0,conservative,deterministic_dappled_pattern_hours,3.8582474226804124,3.75,2.75,5.25,1.0,6.0
4,ZONE_4,632,AUTUMN_B330,AUTUMN,330.0,baseline,expected_open_sky_weighted_hours,2.0304588607594938,1.75,0.0,4.75,0.0,6.5
4,ZONE_4,632,AUTUMN_B330,AUTUMN,330.0,baseline,deterministic_dappled_pattern_hours,2.0304588607594938,1.75,0.0,4.75,0.0,6.5
4,ZONE_4,632,AUTUMN_B330,AUTUMN,330.0,likely,expected_open_sky_weighted_hours,2.0304588607594938,1.75,0.0,4.75,0.0,6.5
4,ZONE_4,632,AUTUMN_B330,AUTUMN,330.0,likely,deterministic_dappled_pattern_hours,2.0304588607594938,1.75,0.0,4.75,0.0,6.5
4,ZONE_4,632,AUTUMN_B330,AUTUMN,330.0,conservative,expected_open_sky_weighted_hours,1.5901107594936708,1.4500000000000002,0.0,3.787499999999999,0.0,5.5375
4,ZONE_4,632,AUTUMN_B330,AUTUMN,330.0,conservative,deterministic_dappled_pattern_hours,1.5901898734177216,1.5,0.0,3.75,0.0,5.75
5,ZONE_5,56,AUTUMN_B330,AUTUMN,330.0,baseline,expected_open_sky_weighted_hours,4.5546875,4.625,4.375,4.875,4.125,4.875
5,ZONE_5,56,AUTUMN_B330,AUTUMN,330.0,baseline,deterministic_dappled_pattern_hours,4.589285714285714,4.5,4.25,4.875,4.0,5.0
5,ZONE_5,56,AUTUMN_B330,AUTUMN,330.0,likely,expected_open_sky_weighted_hours,4.24375,4.2,3.9499999999999997,4.450000000000001,3.9499999999999997,4.450000000000001
5,ZONE_5,56,AUTUMN_B330,AUTUMN,330.0,likely,deterministic_dappled_pattern_hours,4.267857142857143,4.25,4.0,4.5,3.75,4.75
5,ZONE_5,56,AUTUMN_B330,AUTUMN,330.0,conservative,expected_open_sky_weighted_hours,3.897991071428571,3.9062499999999996,3.5874999999999995,4.0874999999999995,3.5874999999999995,4.0874999999999995
5,ZONE_5,56,AUTUMN_B330,AUTUMN,330.0,conservative,deterministic_dappled_pattern_hours,3.955357142857143,4.0,3.75,4.25,3.25,4.5
6,ZONE_6,1025,AUTUMN_B330,AUTUMN,330.0,baseline,expected_open_sky_weighted_hours,5.788292682926829,6.0,3.5,7.4375,2.5,8.0
6,ZONE_6,1025,AUTUMN_B330,AUTUMN,330.0,baseline,deterministic_dappled_pattern_hours,5.785121951219512,6.0,3.5,7.5,2.5,8.0
6,ZONE_6,1025,AUTUMN_B330,AUTUMN,330.0,likely,expected_open_sky_weighted_hours,5.773658536585366,6.0,3.5,7.4,2.5,8.0
6,ZONE_6,1025,AUTUMN_B330,AUTUMN,330.0,likely,deterministic_dappled_pattern_hours,5.771951219512195,6.0,3.5,7.5,2.5,8.0
6,ZONE_6,1025,AUTUMN_B330,AUTUMN,330.0,conservative,expected_open_sky_weighted_hours,5.1733414634146335,5.399999999999999,3.3625,6.45,2.5,6.9
6,ZONE_6,1025,AUTUMN_B330,AUTUMN,330.0,conservative,deterministic_dappled_pattern_hours,5.185365853658537,5.5,3.5,6.5,2.5,7.5
7,ZONE_7,425,AUTUMN_B330,AUTUMN,330.0,baseline,expected_open_sky_weighted_hours,3.8341176470588234,4.625,0.0,6.375,0.0,6.625
7,ZONE_7,425,AUTUMN_B330,AUTUMN,330.0,baseline,deterministic_dappled_pattern_hours,3.8423529411764705,4.5,0.0,6.25,0.0,6.75
7,ZONE_7,425,AUTUMN_B330,AUTUMN,330.0,likely,expected_open_sky_weighted_hours,3.735529411764706,4.450000000000001,0.0,6.300000000000001,0.0,6.550000000000001
7,ZONE_7,425,AUTUMN_B330,AUTUMN,330.0,likely,deterministic_dappled_pattern_hours,3.748235294117647,4.5,0.0,6.25,0.0,6.75
7,ZONE_7,425,AUTUMN_B330,AUTUMN,330.0,conservative,expected_open_sky_weighted_hours,3.441676470588235,4.0874999999999995,0.0,5.675,0.0,5.7875
7,ZONE_7,425,AUTUMN_B330,AUTUMN,330.0,conservative,deterministic_dappled_pattern_hours,3.4523529411764704,4.0,0.0,5.75,0.0,6.5
1,ZONE_1,2406,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,6.511481712385702,6.8125,5.0,7.5,1.75,7.75
1,ZONE_1,2406,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,6.508104738154613,7.0,5.0,7.5,1.75,7.75
1,ZONE_1,2406,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,6.3987738985868665,6.700000000000001,4.9,7.4,1.75,7.65
1,ZONE_1,2406,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,6.394742310889443,6.75,4.75,7.5,1.75,7.75
1,ZONE_1,2406,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,5.4216126350789695,5.65,4.3375,6.2625,0.7875000000000001,6.5125
1,ZONE_1,2406,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,5.430174563591023,5.75,4.25,6.5,0.5,7.5
2,ZONE_2,288,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,6.449652777777778,6.5,5.75,7.25,5.25,7.25
2,ZONE_2,288,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,6.449652777777778,6.5,5.75,7.25,5.25,7.25
2,ZONE_2,288,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,6.349652777777778,6.4,5.65,7.15,5.15,7.15
2,ZONE_2,288,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,6.357638888888889,6.5,5.75,7.0,5.25,7.25
2,ZONE_2,288,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,5.349652777777778,5.3999999999999995,4.6499999999999995,6.15,4.15,6.15
2,ZONE_2,288,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,5.336805555555555,5.25,4.5,6.0,4.0,7.0
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,4.366462628865979,4.5,3.16875,5.5,1.5,6.5
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,4.374355670103093,4.5,3.25,5.75,1.5,6.75
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,4.1952319587628875,4.25,3.12,5.350000000000001,1.5,6.350000000000001
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,4.197164948453608,4.25,3.0,5.5,1.5,6.75
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,3.7754510309278344,3.6999999999999993,2.9499999999999993,4.949999999999999,1.5,5.3999999999999995
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,3.774484536082474,3.75,2.75,4.825000000000003,1.5,5.75
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,1.839003164556962,1.5,0.0,4.5,0.0,6.25
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,1.839003164556962,1.5,0.0,4.5,0.0,6.25
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,1.7831487341772152,1.4,0.0,4.4,0.0,6.15
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,1.7832278481012658,1.5,0.0,4.5,0.0,6.25
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,1.3982199367088606,1.2000000000000002,0.0,3.4000000000000004,0.0,5.1499999999999995
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,1.3888449367088607,1.25,0.0,3.5,0.0,5.75
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,4.665178571428571,4.75,4.5,4.75,4.5,4.75
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,4.651785714285714,4.75,4.375,5.0,4.0,5.0
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,4.244642857142858,4.25,3.9999999999999996,4.500000000000001,3.9999999999999996,4.500000000000001
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,4.267857142857143,4.25,4.0,4.5,3.75,4.75
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,3.6999999999999993,3.6999999999999993,3.4499999999999993,3.9499999999999993,3.4499999999999993,3.9499999999999993
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,3.6875,3.75,3.25,4.0,3.25,4.25
